seqIndex,netCharge,FC,LW,DP,NK,AE,pcMK,_SolventAccessibilityD1025,tau2_GRAR740104,tau4_GRAR740104,QSO50_GRAR740104,QSO29_GRAR740104
20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,15845.9090909,2724.66666667,0.0,0.065294
21,0.0,0.0,0.0,0.0,0.0,8.33,0.0,15.385,15587.5454545,7323.22222222,0.0,0.085088
22,0.0,0.0,0.0,0.0,0.0,8.33,0.0,15.385,15438.0909091,7274.22222222,0.0,0.083436
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14920.9090909,10531.0,0.0,0.04025
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,15084.5454545,4461.66666667,0.0,0.085238
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,20104.3636364,5033.44444444,0.0,0.070627
26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,18312.0,5714.0,0.0,0.067021
27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.692,6889.72727273,7587.22222222,0.0,0.06229
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,18321.2727273,7493.22222222,0.0,0.067607
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,14324.3636364,5293.66666667,0.0,0.057618
30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,15163.5833333,15247.3,0.0,0.045099
31,2.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,14.286,12931.8333333,14056.6,0.0,0.050744
32,3.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,14.286,13313.0833333,11338.9,0.0,0.048648
33,1.0,0.0,7.69,0.0,0.0,0.0,0.0,14.286,19246.25,6631.1,0.0,0.058174
34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,11702.0,6103.3,0.0,0.049875
35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,12190.5,10758.4,0.0,0.056968
36,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,21.429,13345.4166667,13184.8,0.0,0.079002
37,0.0,0.0,0.0,0.0,0.0,0.0,0.5,21.429,12637.5,12313.7,0.0,0.072525
38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,7708.0,10284.2,0.0,0.063561
39,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.143,11274.4166667,6179.9,0.0,0.070304
40,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,12606.25,12557.7,0.0,0.079062
41,3.0,0.0,0.0,0.0,0.0,0.0,0.4,7.143,12274.4166667,12157.4,0.0,0.074637
42,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10481.4166667,5867.9,0.0,0.070798
43,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,10725.6666667,12826.9,0.0,0.058076
44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333,11649.1538462,7456.27272727,0.0,0.060946
45,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.667,8794.30769231,7987.0,0.0,0.065424
46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12094.3846154,9267.81818182,0.0,0.071913
47,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.667,13731.6153846,15694.3636364,0.0,0.083192
48,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,5280.15384615,5246.09090909,0.0,0.058013
49,0.0,0.0,14.29,0.0,0.0,0.0,0.0,20.0,3094.46153846,4468.09090909,0.0,0.078733
50,0.0,0.0,21.43,0.0,0.0,0.0,0.0,20.0,2848.30769231,4799.36363636,0.0,0.086612
51,0.0,0.0,14.29,0.0,0.0,0.0,0.0,20.0,3058.92307692,4494.81818182,0.0,0.07586
52,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10825.0769231,8751.18181818,0.0,0.068834
53,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10684.5384615,8024.36363636,0.0,0.070606
54,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10260.5384615,8417.45454545,0.0,0.068913
55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,14406.5,16401.8333333,0.0,0.068932
56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,13727.0714286,7761.16666667,0.0,0.092714
57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,13847.0714286,7776.41666667,0.0,0.093222
58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,15211.5,6166.5,0.0,0.07681
59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,14295.7142857,5391.16666667,0.0,0.101677
60,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882,10356.0666667,6051.46153846,0.0,0.062409
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.529,11643.5333333,6420.46153846,0.0,0.089192
62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.765,14510.6666667,5129.15384615,0.0,0.077611
63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.647,10464.5333333,11367.1538462,0.0,0.072205
64,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,7940.375,5093.5,0.0,0.070114
65,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,12452.125,5530.5,0.0,0.07873
66,5.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,11.111,9768.5625,4835.21428571,0.0,0.072356
67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,12847.3125,6321.14285714,0.0,0.062796
68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,14118.375,7727.78571429,0.0,0.068219
69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,11237.0625,4827.57142857,0.0,0.066986
70,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,8895.3125,6361.28571429,0.0,0.053056
71,-1.0,0.0,0.0,0.0,0.0,5.88,0.0,22.222,5073.625,5262.71428571,0.0,0.065475
72,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263,11428.7647059,5837.26666667,0.0,0.061609
73,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,10102.1764706,9107.33333333,0.0,0.074369
74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.053,10774.5294118,8087.2,0.0,0.078874
75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,10485.0,6078.26666667,0.0,0.098631
76,2.0,0.0,5.56,0.0,0.0,0.0,0.0,15.789,11329.8235294,5547.26666667,0.0,0.08055
77,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,9001.70588235,10049.6,0.0,0.071369
78,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,9306.64705882,9438.6,0.0,0.0664
79,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.316,11599.0588235,5301.6,0.0,0.066986
80,1.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,10.526,14745.2352941,6548.46666667,0.0,0.086362
81,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,5034.17647059,5659.26666667,0.0,0.086866
82,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16246.9444444,13764.875,0.0,0.067628
83,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10835.5,7452.4375,0.0,0.072205
84,3.0,0.0,0.0,0.0,0.0,0.0,0.25,15.0,15215.7222222,11432.25,0.0,0.07357
85,2.0,0.0,0.0,0.0,0.0,0.0,0.5,25.0,14243.8333333,4873.0,0.0,0.064599
86,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14089.1111111,11385.25,0.0,0.056865
87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12532.0,5470.3125,0.0,0.084018
88,4.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,30.0,10295.2777778,9038.75,0.0,0.068502
89,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11607.8333333,4667.0,0.0,0.078018
90,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12808.0555556,13268.5625,0.0,0.066649
91,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12577.5,5481.75,0.0,0.084087
92,4.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,10.0,10917.8333333,7211.1875,0.0,0.075356
93,5.0,0.0,0.0,0.0,0.0,0.0,0.25,10.0,11296.1111111,6508.9375,0.0,0.075093
94,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7407.77777778,9102.125,0.0,0.044664
95,2.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,28.571,12430.0526316,7615.76470588,0.0,0.074611
96,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.048,16908.3684211,15776.0,0.0,0.058886
97,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,11096.1052632,8020.41176471,0.0,0.080156
98,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571,15354.6842105,14549.8823529,0.0,0.062802
99,4.0,0.0,0.0,0.0,0.0,0.0,0.2,28.571,10252.5789474,6772.23529412,0.0,0.064685
100,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.048,9689.78947368,11504.1176471,0.0,0.050976
101,7.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,8079.52631579,6845.88235294,0.0,0.054632
102,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.727,9342.3,5224.38888889,0.0,0.053506
103,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.727,9282.9,5233.94444444,0.0,0.053298
104,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.727,10770.8,5867.88888889,0.0,0.046271
105,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.091,8201.95,7277.72222222,0.0,0.07227
106,2.0,0.0,0.0,0.0,0.0,4.76,0.0,18.182,9155.2,3645.38888889,0.0,0.06576
107,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.636,11615.2,5266.38888889,0.0,0.051522
108,2.0,0.0,0.0,0.0,4.76,0.0,0.2,31.818,15459.85,6843.83333333,0.0,0.070919
109,6.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,27.273,7644.0,7469.38888889,0.0,0.060368
110,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391,10701.4761905,7349.52631579,0.0,0.079973
111,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.739,9749.28571429,6408.57894737,0.0,0.068258
112,4.0,0.0,0.0,0.0,0.0,0.0,0.2,13.043,13198.7619048,8680.15789474,0.0,0.056412
113,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.739,11749.7619048,7767.36842105,0.0,0.065913
114,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.696,11247.047619,8322.36842105,0.0,0.060181
115,1.0,0.0,4.55,0.0,0.0,0.0,0.0,13.043,14617.0952381,6359.05263158,0.0,0.071839
116,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391,11715.047619,5844.10526316,0.0,0.085311
117,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.696,12354.1904762,7748.15789474,0.0,0.079747
118,6.0,0.0,4.55,0.0,0.0,0.0,0.0,13.043,8893.76190476,6688.05263158,0.0,0.056161
119,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391,10521.0952381,6946.31578947,0.0,0.082504
120,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391,11856.3809524,6067.73684211,0.0,0.087494
121,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391,11759.2380952,6007.57894737,0.0,0.088039
122,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,6344.59090909,6138.9,0.0,0.068507
123,4.0,4.35,0.0,0.0,0.0,0.0,0.0,20.833,14149.9545455,10426.2,0.0,0.066874
124,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,13592.9090909,10185.55,0.0,0.056545
125,3.0,0.0,0.0,0.0,0.0,4.35,0.0,16.667,10680.9545455,6213.7,0.0,0.05744
126,4.0,0.0,0.0,0.0,0.0,4.35,0.0,12.5,10177.6363636,7012.05,0.0,0.061036
127,4.0,0.0,0.0,0.0,0.0,4.35,0.0,12.5,9976.0,6807.25,0.0,0.060053
128,3.0,0.0,0.0,0.0,0.0,4.35,0.0,20.833,9545.18181818,6436.6,0.0,0.057527
129,5.0,0.0,0.0,0.0,0.0,0.0,0.125,8.333,12342.3181818,6390.25,0.0,0.055738
130,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12861.2727273,7083.85,0.0,0.052888
131,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,12232.0454545,7541.4,0.0,0.067426
132,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833,12053.5,7585.05,0.0,0.067904
133,4.0,0.0,4.35,0.0,4.35,0.0,0.333333333333,25.0,8205.90909091,10354.45,0.0,0.063074
134,5.0,0.0,4.35,0.0,0.0,0.0,0.0,25.0,11214.8181818,6793.85,0.0,0.063546
135,7.0,0.0,0.0,0.0,0.0,0.0,0.125,16.667,11865.8636364,6135.2,0.0,0.040308
136,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.667,8646.81818182,3054.05,0.0,0.092194
137,5.0,0.0,0.0,0.0,0.0,0.0,0.125,25.0,11507.6818182,5766.45,0.0,0.056854
138,3.0,0.0,0.0,0.0,0.0,4.35,0.666666666667,16.667,12757.5,9970.75,0.0,0.053299
139,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833,11115.8636364,9660.55,0.0,0.039146
140,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12594.173913,9117.52380952,0.0,0.073793
141,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10109.7391304,7874.9047619,0.0,0.053651
142,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10121.173913,7842.19047619,0.0,0.053484
143,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16490.7391304,8262.71428571,0.0,0.048432
144,3.0,0.0,0.0,0.0,0.0,4.17,0.0,16.0,10048.0,5521.66666667,0.0,0.059554
145,2.0,0.0,0.0,0.0,0.0,4.17,0.0,16.0,10942.6086957,5803.0952381,0.0,0.059468
146,3.0,0.0,0.0,0.0,0.0,4.17,0.0,16.0,10304.5652174,5519.0,0.0,0.058635
147,3.0,0.0,0.0,0.0,0.0,4.17,0.0,12.0,10981.826087,5708.9047619,0.0,0.061786
148,3.0,0.0,0.0,0.0,0.0,4.17,0.0,20.0,10476.826087,5369.66666667,0.0,0.058987
149,2.0,0.0,0.0,0.0,0.0,4.17,0.0,20.0,10460.0434783,4731.9047619,0.0,0.060811
150,3.0,0.0,0.0,0.0,0.0,4.17,0.0,20.0,10620.5217391,4572.04761905,0.0,0.065083
151,3.0,0.0,0.0,0.0,4.17,0.0,0.2,12.0,13997.0434783,5300.61904762,0.0,0.061558
152,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10698.0869565,7768.85714286,0.0,0.039833
153,6.0,0.0,0.0,0.0,0.0,0.0,0.2,28.0,9127.17391304,7520.52380952,0.0,0.044888
154,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10010.2173913,7032.71428571,0.0,0.044697
155,8.0,0.0,0.0,0.0,0.0,0.0,0.25,24.0,6851.30434783,7931.19047619,0.0,0.052858
156,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14272.7391304,7370.38095238,0.0,0.047408
157,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11483.9565217,8713.76190476,0.0,0.061349
158,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.231,12601.6666667,5170.0,0.0,0.058488
159,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538,7395.08333333,7251.68181818,0.0,0.05905
160,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538,10388.75,7175.04545455,0.0,0.066572
161,2.0,0.0,4.0,0.0,4.0,0.0,0.2,23.077,12647.6666667,7129.0,0.0,0.046364
162,9.0,0.0,0.0,0.0,0.0,0.0,0.25,23.077,9261.875,9265.72727273,0.0,0.048012
163,6.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,38.462,8492.91666667,7237.40909091,0.0,0.049248
164,8.0,0.0,0.0,0.0,0.0,0.0,0.0,23.077,8074.04166667,7738.86363636,0.0,0.050989
165,10.0,0.0,0.0,0.0,0.0,0.0,0.2,19.231,13351.3333333,6288.45454545,0.0,0.057946
166,4.0,0.0,3.85,0.0,0.0,0.0,0.2,22.222,8859.44,5979.34782609,0.0,0.054001
167,3.0,0.0,0.0,0.0,0.0,3.85,0.0,14.815,10992.36,5524.17391304,0.0,0.059045
168,3.0,0.0,0.0,0.0,0.0,3.85,0.0,14.815,10884.28,6392.95652174,0.0,0.05076
169,3.0,0.0,0.0,0.0,0.0,3.85,0.0,18.519,11444.8,4692.08695652,0.0,0.058462
170,9.0,0.0,0.0,0.0,0.0,0.0,0.0,25.926,12714.96,14667.2608696,0.0,0.04628
171,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,8529.8,6300.0,0.0,0.051235
172,7.0,0.0,0.0,0.0,0.0,0.0,0.2,14.815,9592.64,7467.82608696,0.0,0.035381
173,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,9943.68,9616.7826087,0.0,0.055461
174,5.0,0.0,0.0,0.0,0.0,0.0,0.25,29.63,11418.44,8374.60869565,0.0,0.053705
175,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.519,8101.44,6617.86956522,0.0,0.057276
176,2.0,0.0,3.7,0.0,0.0,0.0,0.2,10.714,13193.1153846,4803.875,0.0,0.052601
177,9.0,0.0,0.0,0.0,0.0,0.0,0.125,10.714,11621.4230769,8195.04166667,0.0,0.059264
178,7.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429,10625.2692308,9119.375,0.0,0.063818
179,3.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,20.69,14632.1481481,8867.88,0.0,0.05196
180,6.0,0.0,3.57,0.0,0.0,0.0,0.0,20.69,9534.25925926,4313.0,0.0,0.057002
181,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.345,12948.7407407,6818.2,0.0,0.068514
182,10.0,0.0,0.0,0.0,0.0,0.0,0.0,24.138,9834.11111111,8438.28,0.0,0.056773
183,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,14257.8518519,7094.2,0.0,0.048642
184,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.586,7582.92592593,8132.4,0.0,0.05473
185,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,7867.92592593,7496.52,0.0,0.054122
186,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,7996.77777778,7073.8,0.0,0.048695
187,5.0,0.0,3.45,0.0,0.0,3.45,0.142857142857,30.0,12082.0357143,8336.73076923,0.0,0.045378
188,3.0,0.0,3.45,0.0,0.0,0.0,0.2,20.0,11926.6785714,6834.5,0.0,0.048324
189,0.0,0.0,0.0,0.0,0.0,0.0,0.5,26.667,17625.0714286,15084.1538462,0.0,0.047716
190,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.667,11402.4285714,8114.76923077,0.0,0.056104
191,10.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,13.333,13521.2857143,11815.0,0.0,0.04996
192,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15936.1785714,7596.19230769,0.0,0.052521
193,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9553.46428571,7945.15384615,0.0,0.055363
194,7.0,0.0,0.0,0.0,0.0,0.0,0.2,20.0,11500.8928571,10199.6153846,0.0,0.05069
195,3.0,0.0,0.0,0.0,3.45,0.0,0.0,20.0,13308.7142857,11031.6538462,0.0,0.041105
196,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7962.60714286,5565.88461538,0.0,0.053644
197,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333,10442.25,5959.19230769,0.0,0.066602
198,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.903,10461.0689655,9998.55555556,0.004197,0.060502
199,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.806,10499.4137931,5846.48148148,0.003048,0.064434
200,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581,10193.3448276,9116.11111111,0.002652,0.048565
201,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15075.7333333,8072.42857143,0.006272,0.048821
202,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15795.8,7513.53571429,0.006088,0.045647
203,6.0,0.0,0.0,0.0,3.23,0.0,0.0,12.5,12167.1,10294.4642857,0.004722,0.043104
204,5.0,0.0,0.0,0.0,0.0,0.0,0.25,31.25,10296.7333333,6197.53571429,0.000843,0.044727
205,11.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,9651.5,8305.60714286,0.001635,0.058984
206,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,9257.23333333,8457.75,0.001633,0.059095
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.121,11092.9032258,6965.68965517,0.008152,0.045027
208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.121,11297.4193548,6853.13793103,0.006363,0.044825
209,5.0,0.0,0.0,0.0,0.0,3.13,0.0,12.121,15548.0322581,8897.17241379,0.004549,0.052479
210,4.0,0.0,3.13,0.0,0.0,0.0,0.0,24.242,10525.2903226,5254.44827586,0.005898,0.04745
211,3.0,0.0,3.13,0.0,0.0,0.0,0.0,27.273,10426.6129032,5342.44827586,0.00579,0.048074
212,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.152,13753.6451613,8921.44827586,0.01046,0.051057
213,5.0,0.0,0.0,0.0,3.13,0.0,0.375,9.091,8940.93548387,9853.86206897,0.005383,0.039082
214,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.152,13055.5806452,9858.20689655,0.001946,0.048187
215,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.242,11200.3870968,8366.68965517,0.003201,0.052799
216,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,21.212,13625.3225806,13360.1724138,0.006922,0.043127
217,4.0,0.0,3.03,0.0,0.0,0.0,0.4,20.588,8367.9375,6969.26666667,0.012404,0.039181
218,4.0,0.0,3.03,0.0,0.0,0.0,0.333333333333,20.588,9267.4375,6757.16666667,0.009967,0.040978
219,2.0,0.0,0.0,0.0,0.0,3.03,0.0,20.588,11196.71875,4954.86666667,0.007352,0.06128
220,4.0,0.0,0.0,0.0,0.0,0.0,0.4,17.647,16485.25,13030.8333333,0.007168,0.045234
221,6.0,0.0,0.0,0.0,0.0,0.0,0.0,26.471,10953.75,8348.46666667,0.006239,0.048778
222,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.824,12266.09375,6974.33333333,0.007637,0.065874
223,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.647,11763.03125,7036.06666667,0.005129,0.064345
224,16.0,0.0,0.0,0.0,0.0,0.0,0.0,20.588,7733.5,4905.8,0.0109,0.054296
225,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.588,8298.8125,5195.33333333,0.008954,0.058189
226,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.588,8366.0,5494.86666667,0.010341,0.057855
227,7.0,0.0,0.0,0.0,2.94,0.0,0.111111111111,11.429,9407.45454545,4546.5483871,0.010681,0.041122
228,-2.0,0.0,2.94,0.0,2.94,0.0,0.0,28.571,15435.4848485,14016.7419355,0.013949,0.032378
229,1.0,0.0,0.0,0.0,0.0,2.86,0.5,33.333,10603.6470588,7010.5,0.009292,0.038812
230,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.622,12632.4,10222.3030303,0.016949,0.047402
231,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,12239.7714286,6113.6969697,0.006695,0.049356
232,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.324,13643.2571429,7783.48484848,0.014445,0.043578
233,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,11733.2285714,9991.15151515,0.009809,0.049238
234,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,10189.8,9469.39393939,0.009427,0.04783
235,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,11119.2285714,9643.03030303,0.008699,0.050498
236,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,9908.71428571,9461.51515152,0.009304,0.046158
237,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,15413.3714286,7747.12121212,0.016993,0.065165
238,12.0,0.0,0.0,0.0,2.78,0.0,0.0,16.216,10104.5428571,5185.36363636,0.014778,0.055487
239,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.622,11999.8,10561.1515152,0.01527,0.04621
240,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.73,9304.25714286,7233.09090909,0.009604,0.043551
241,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.514,12893.0,5881.78787879,0.00903,0.062527
242,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.108,12218.9142857,6638.72727273,0.008937,0.059977
243,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,12779.1142857,6511.81818182,0.011593,0.054803
244,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,13130.5428571,6666.21212121,0.009907,0.060424
245,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.216,12847.2857143,7365.66666667,0.010057,0.057156
